date,transaction_type,amount,counterparty,category,balance_after
2025-09-22,DEBIT,244,Grocery Store,EXPENSE,-244
2025-09-28,CREDIT,7873,Platform Inc,SALARY,7629
2025-10-05,CREDIT,7676,Platform Inc,SALARY,15305
2025-10-12,CREDIT,11453,Customer Transfer,SALARY,26758
2025-10-19,CREDIT,12400,Customer Transfer,SALARY,39158
2025-10-26,CREDIT,8268,Platform Inc,SALARY,47426
2025-11-02,CREDIT,10395,Customer Transfer,SALARY,57821
2025-11-09,CREDIT,11638,Customer Transfer,SALARY,69459
2025-11-16,CREDIT,8346,Customer Transfer,SALARY,77805
2025-11-23,CREDIT,8763,Platform Inc,SALARY,86568
2025-11-30,CREDIT,8941,Customer Transfer,SALARY,95509
2025-12-07,CREDIT,11760,Platform Inc,SALARY,107269
2025-12-14,CREDIT,9662,Platform Inc,SALARY,116931
2025-12-21,CREDIT,9329,Customer Transfer,SALARY,126260
2025-12-28,CREDIT,12456,Customer Transfer,SALARY,138716
2026-01-04,CREDIT,8512,Platform Inc,SALARY,147228
2026-01-05,DEBIT,117,Grocery Store,EXPENSE,147111
2026-01-11,CREDIT,8064,Customer Transfer,SALARY,155175
2026-01-18,CREDIT,11227,Platform Inc,SALARY,166402
2026-01-25,CREDIT,8506,Platform Inc,SALARY,174908
2026-02-01,CREDIT,5843,Platform Inc,SALARY,180751
2026-02-03,DEBIT,416,Grocery Store,EXPENSE,180335
2026-02-07,DEBIT,187,Grocery Store,EXPENSE,180148
2026-02-08,CREDIT,11114,Customer Transfer,SALARY,191262
2026-02-15,CREDIT,10704,Customer Transfer,SALARY,201966
2026-02-22,CREDIT,10549,Platform Inc,SALARY,212515
2026-03-01,CREDIT,9648,Customer Transfer,SALARY,222163
2026-03-08,CREDIT,10705,Customer Transfer,SALARY,232868
2026-03-15,CREDIT,10242,Platform Inc,SALARY,243110
2026-03-18,DEBIT,245,Grocery Store,EXPENSE,242865
