date,transaction_type,amount,counterparty,category,balance_after
2025-09-28,DEBIT,410,Grocery Store,EXPENSE,-410
2025-09-30,CREDIT,8158,Platform Inc,SALARY,7748
2025-10-12,CREDIT,6523,Customer Transfer,SALARY,14271
2025-10-24,CREDIT,8956,Platform Inc,SALARY,23227
2025-10-29,BOUNCE,748,Bank Fees,FEE,22479
2025-11-05,CREDIT,9355,Customer Transfer,SALARY,31834
2025-11-11,DEBIT,456,Grocery Store,EXPENSE,31378
2025-11-17,CREDIT,8939,Platform Inc,SALARY,40317
2025-11-29,CREDIT,12545,Platform Inc,SALARY,52862
2025-12-11,CREDIT,5427,Platform Inc,SALARY,58289
2025-12-23,CREDIT,9875,Customer Transfer,SALARY,68164
2026-01-03,DEBIT,223,Grocery Store,EXPENSE,67941
2026-01-04,CREDIT,4691,Platform Inc,SALARY,72632
2026-01-06,DEBIT,224,Grocery Store,EXPENSE,72408
2026-01-07,DEBIT,299,Grocery Store,EXPENSE,72109
2026-01-09,DEBIT,185,Grocery Store,EXPENSE,71924
2026-01-16,CREDIT,13112,Platform Inc,SALARY,85036
2026-01-18,DEBIT,67,Grocery Store,EXPENSE,84969
2026-01-28,CREDIT,4960,Customer Transfer,SALARY,89929
2026-02-09,CREDIT,4604,Customer Transfer,SALARY,94533
2026-02-21,CREDIT,9162,Platform Inc,SALARY,103695
2026-03-05,CREDIT,10726,Platform Inc,SALARY,114421
2026-03-17,CREDIT,8294,Platform Inc,SALARY,122715
