date,transaction_type,amount,counterparty,category,balance_after
2025-09-26,CREDIT,2359,Platform Inc,SALARY,2359
2025-10-16,CREDIT,2621,Customer Transfer,SALARY,4980
2025-10-17,DEBIT,130,Grocery Store,EXPENSE,4850
2025-10-22,DEBIT,349,Grocery Store,EXPENSE,4501
2025-10-29,BOUNCE,421,Bank Fees,FEE,4080
2025-11-05,CREDIT,4574,Customer Transfer,SALARY,8654
2025-11-12,BOUNCE,328,Bank Fees,FEE,8326
2025-11-14,BOUNCE,149,Bank Fees,FEE,8177
2025-11-16,BOUNCE,797,Bank Fees,FEE,7380
2025-11-18,DEBIT,244,Grocery Store,EXPENSE,7136
2025-11-25,CREDIT,4900,Customer Transfer,SALARY,12036
2025-11-29,DEBIT,222,Grocery Store,EXPENSE,11814
2025-12-05,DEBIT,291,Grocery Store,EXPENSE,11523
2025-12-15,CREDIT,4870,Customer Transfer,SALARY,16393
2026-01-04,CREDIT,767,Platform Inc,SALARY,17160
2026-01-05,BOUNCE,938,Bank Fees,FEE,16222
2026-01-11,BOUNCE,653,Bank Fees,FEE,15569
2026-01-20,BOUNCE,354,Bank Fees,FEE,15215
2026-01-21,DEBIT,196,Grocery Store,EXPENSE,15019
2026-01-24,CREDIT,1494,Platform Inc,SALARY,16513
2026-02-01,DEBIT,56,Grocery Store,EXPENSE,16457
2026-02-04,DEBIT,84,Grocery Store,EXPENSE,16373
2026-02-13,CREDIT,3892,Customer Transfer,SALARY,20265
2026-02-18,DEBIT,221,Grocery Store,EXPENSE,20044
2026-02-26,BOUNCE,475,Bank Fees,FEE,19569
2026-03-05,CREDIT,9346,Platform Inc,SALARY,28915
2026-03-11,DEBIT,93,Grocery Store,EXPENSE,28822
